robot,machine,date,start_time
R2,M3,2025-02-20,08:00
R3,M3,2025-02-20,08:15
R4,M1,2025-02-20,08:20
R5,M3,2025-02-20,08:25
R1,M1,2025-02-20,08:30
R2,M2,2025-02-20,08:35
R3,M3,2025-02-20,08:40
R4,M1,2025-02-20,08:50
R5,M2,2025-02-20,09:00
R1,M1,2025-02-20,09:15
R2,M3,2025-02-20,09:25
R3,M2,2025-02-20,09:40
R4,M1,2025-02-20,09:45
R5,M1,2025-02-20,10:00
R1,M2,2025-02-20,10:10
R2,M3,2025-02-20,10:25
R3,M3,2025-02-20,10:35
R4,M1,2025-02-20,10:40
R5,M2,2025-02-20,10:50
R1,M1,2025-02-20,11:05
R2,M1,2025-02-20,11:20
R3,M3,2025-02-20,11:35
R4,M1,2025-02-20,11:50
R5,M3,2025-02-20,12:00
R1,M2,2025-02-20,12:05
R2,M2,2025-02-20,12:15
R3,M2,2025-02-20,12:20
R4,M1,2025-02-20,12:30
R5,M2,2025-02-20,12:40
R1,M3,2025-02-20,12:45
R2,M2,2025-02-20,12:50
R3,M2,2025-02-20,12:55
R4,M3,2025-02-20,13:00
R5,M3,2025-02-20,13:15
R1,M1,2025-02-20,13:20
R2,M1,2025-02-20,13:30
R3,M2,2025-02-20,13:40
R4,M1,2025-02-20,13:45
R5,M2,2025-02-20,13:50
R1,M1,2025-02-20,14:00
R2,M1,2025-02-20,14:10
R3,M2,2025-02-20,14:15
R4,M2,2025-02-20,14:25
R5,M2,2025-02-20,14:30
R1,M2,2025-02-20,14:35
R2,M1,2025-02-20,14:50
R3,M1,2025-02-20,15:00
R4,M1,2025-02-20,15:15
R5,M2,2025-02-20,15:25
R1,M1,2025-02-20,15:35
R2,M2,2025-02-20,15:40
R3,M1,2025-02-20,15:50
R4,M2,2025-02-20,16:05
R5,M1,2025-02-20,16:15
R1,M1,2025-02-20,16:20
R2,M2,2025-02-20,16:35
R3,M1,2025-02-20,16:40
R4,M2,2025-02-20,16:45
R5,M3,2025-02-20,16:55
R1,M2,2025-02-20,17:00
R2,M2,2025-02-20,17:10
R3,M2,2025-02-20,17:25
R4,M1,2025-02-20,17:30
R5,M3,2025-02-20,17:35
R1,M1,2025-02-20,17:50
R2,M2,2025-02-20,18:00
R3,M2,2025-02-20,18:10
R4,M1,2025-02-20,18:25
R5,M3,2025-02-20,18:35
R1,M2,2025-02-20,18:50
