execution_id,robot,items,time_per_item,start_window,end_window,completed
1,R1,2,3,2025-02-20 08:00,2025-02-20 08:10,False
2,R2,2,2,2025-02-20 08:10,2025-02-20 08:25,False
3,R3,1,1,2025-02-20 08:25,2025-02-20 08:35,False
4,R4,1,1,2025-02-20 08:35,2025-02-20 08:50,False
5,R5,1,4,2025-02-20 08:50,2025-02-20 09:05,False
6,R6,3,4,2025-02-20 09:05,2025-02-20 09:15,False
7,R7,1,4,2025-02-20 09:15,2025-02-20 09:30,False
8,R8,3,2,2025-02-20 09:30,2025-02-20 09:40,False
9,R9,3,3,2025-02-20 09:40,2025-02-20 09:55,False
10,R10,2,5,2025-02-20 09:55,2025-02-20 10:10,False
11,R11,2,4,2025-02-20 10:10,2025-02-20 10:25,False
12,R12,2,1,2025-02-20 10:25,2025-02-20 10:30,False
13,R13,1,4,2025-02-20 10:30,2025-02-20 10:35,False
14,R14,1,3,2025-02-20 10:35,2025-02-20 10:40,False
15,R15,1,1,2025-02-20 10:40,2025-02-20 10:50,False
16,R16,2,3,2025-02-20 10:50,2025-02-20 10:55,False
17,R17,3,1,2025-02-20 10:55,2025-02-20 11:05,False
18,R18,3,2,2025-02-20 11:05,2025-02-20 11:10,False
19,R19,2,3,2025-02-20 11:10,2025-02-20 11:25,False
20,R20,3,2,2025-02-20 11:25,2025-02-20 11:40,False
21,R21,3,2,2025-02-20 11:40,2025-02-20 11:45,False
22,R22,3,4,2025-02-20 11:45,2025-02-20 12:00,False
23,R23,2,3,2025-02-20 12:00,2025-02-20 12:05,False
24,R24,1,5,2025-02-20 12:05,2025-02-20 12:15,False
25,R25,2,4,2025-02-20 12:15,2025-02-20 12:30,False
26,R26,2,4,2025-02-20 12:30,2025-02-20 12:35,False
27,R27,1,5,2025-02-20 12:35,2025-02-20 12:40,False
28,R28,3,2,2025-02-20 12:40,2025-02-20 12:55,False
29,R29,2,2,2025-02-20 12:55,2025-02-20 13:05,False
30,R30,1,2,2025-02-20 13:05,2025-02-20 13:20,False
31,R31,1,5,2025-02-20 13:20,2025-02-20 13:35,False
32,R32,2,4,2025-02-20 13:35,2025-02-20 13:40,False
33,R33,3,1,2025-02-20 13:40,2025-02-20 13:55,False
34,R34,2,5,2025-02-20 13:55,2025-02-20 14:00,False
35,R35,1,3,2025-02-20 14:00,2025-02-20 14:15,False
36,R36,3,5,2025-02-20 14:15,2025-02-20 14:20,False
37,R37,3,3,2025-02-20 14:20,2025-02-20 14:30,False
38,R38,2,1,2025-02-20 14:30,2025-02-20 14:35,False
39,R39,3,2,2025-02-20 14:35,2025-02-20 14:50,False
40,R40,3,2,2025-02-20 14:50,2025-02-20 15:00,False
41,R41,1,5,2025-02-20 15:00,2025-02-20 15:15,False
42,R42,3,3,2025-02-20 15:15,2025-02-20 15:20,False
43,R43,2,4,2025-02-20 15:20,2025-02-20 15:30,False
44,R44,3,3,2025-02-20 15:30,2025-02-20 15:40,False
45,R45,3,4,2025-02-20 15:40,2025-02-20 15:50,False
46,R46,2,4,2025-02-20 15:50,2025-02-20 15:55,False
47,R47,2,5,2025-02-20 15:55,2025-02-20 16:10,False
48,R48,1,5,2025-02-20 16:10,2025-02-20 16:15,False
49,R49,3,4,2025-02-20 16:15,2025-02-20 16:25,False
50,R50,3,4,2025-02-20 16:25,2025-02-20 16:35,False
51,R51,1,1,2025-02-20 16:35,2025-02-20 16:40,False
52,R52,2,2,2025-02-20 16:40,2025-02-20 16:45,False
53,R53,3,2,2025-02-20 16:45,2025-02-20 16:50,False
54,R54,2,1,2025-02-20 16:50,2025-02-20 16:55,False
55,R55,1,2,2025-02-20 16:55,2025-02-20 17:00,False
56,R56,3,3,2025-02-20 17:00,2025-02-20 17:15,False
57,R57,3,4,2025-02-20 17:15,2025-02-20 17:30,False
58,R58,3,3,2025-02-20 17:30,2025-02-20 17:40,False
59,R59,1,5,2025-02-20 17:40,2025-02-20 17:55,False
60,R60,3,3,2025-02-20 17:55,2025-02-20 18:00,False
61,R61,1,1,2025-02-20 18:00,2025-02-20 18:10,False
62,R62,2,1,2025-02-20 18:10,2025-02-20 18:25,False
63,R63,1,4,2025-02-20 18:25,2025-02-20 18:30,False
64,R64,2,5,2025-02-20 18:30,2025-02-20 18:35,False
65,R65,1,5,2025-02-20 18:35,2025-02-20 18:50,False
66,R66,1,2,2025-02-20 18:50,2025-02-20 19:05,False
67,R67,3,4,2025-02-20 19:05,2025-02-20 19:10,False
68,R68,1,1,2025-02-20 19:10,2025-02-20 19:25,False
69,R69,3,2,2025-02-20 19:25,2025-02-20 19:35,False
70,R70,2,3,2025-02-20 19:35,2025-02-20 19:40,False
71,R71,2,3,2025-02-20 19:40,2025-02-20 19:45,False
72,R72,1,1,2025-02-20 19:45,2025-02-20 19:50,False
73,R73,3,5,2025-02-20 19:50,2025-02-20 19:55,False
74,R74,1,2,2025-02-20 19:55,2025-02-20 20:10,False
75,R75,1,3,2025-02-20 20:10,2025-02-20 20:20,False
76,R76,3,3,2025-02-20 20:20,2025-02-20 20:30,False
77,R77,2,5,2025-02-20 20:30,2025-02-20 20:45,False
78,R78,3,1,2025-02-20 20:45,2025-02-20 20:55,False
79,R79,3,3,2025-02-20 20:55,2025-02-20 21:00,False
80,R80,2,4,2025-02-20 21:00,2025-02-20 21:05,False
81,R81,3,4,2025-02-20 21:05,2025-02-20 21:20,False
82,R82,1,1,2025-02-20 21:20,2025-02-20 21:25,False
83,R83,3,3,2025-02-20 21:25,2025-02-20 21:35,False
84,R84,3,3,2025-02-20 21:35,2025-02-20 21:40,False
85,R85,2,5,2025-02-20 21:40,2025-02-20 21:55,False
86,R86,1,5,2025-02-20 21:55,2025-02-20 22:10,False
87,R87,3,2,2025-02-20 22:10,2025-02-20 22:20,False
88,R88,1,3,2025-02-20 22:20,2025-02-20 22:30,False
89,R89,3,5,2025-02-20 22:30,2025-02-20 22:40,False
90,R90,1,1,2025-02-20 22:40,2025-02-20 22:55,False
91,R91,1,3,2025-02-20 22:55,2025-02-20 23:10,False
92,R92,2,5,2025-02-20 23:10,2025-02-20 23:15,False
93,R93,2,4,2025-02-20 23:15,2025-02-20 23:25,False
94,R94,2,5,2025-02-20 23:25,2025-02-20 23:40,False
95,R95,3,3,2025-02-20 23:40,2025-02-20 23:45,False
96,R96,1,4,2025-02-20 23:45,2025-02-20 23:55,False
97,R97,3,4,2025-02-20 23:55,2025-02-21 00:00,False
98,R98,3,1,2025-02-21 00:00,2025-02-21 00:15,False
99,R99,1,4,2025-02-21 00:15,2025-02-21 00:30,False
100,R100,1,2,2025-02-21 00:30,2025-02-21 00:45,False
101,R101,1,2,2025-02-21 00:45,2025-02-21 00:55,False
102,R102,1,2,2025-02-21 00:55,2025-02-21 01:05,False
103,R103,2,2,2025-02-21 01:05,2025-02-21 01:15,False
104,R104,3,3,2025-02-21 01:15,2025-02-21 01:30,False
105,R105,3,1,2025-02-21 01:30,2025-02-21 01:35,False
106,R106,2,1,2025-02-21 01:35,2025-02-21 01:45,False
107,R107,2,5,2025-02-21 01:45,2025-02-21 01:50,False
