robot,machine,date,start_time
R1,M5,2025-01-01,08:00
R2,M1,2025-01-01,10:00
R3,M1,2025-01-01,12:00
R4,M5,2025-01-01,12:30
R5,M5,2025-01-01,12:45
R6,M4,2025-01-01,13:15
R7,M2,2025-01-01,14:15
R8,M5,2025-01-01,14:45
R9,M5,2025-01-01,15:00
R10,M2,2025-01-01,15:15
R11,M1,2025-01-01,16:15
R12,M1,2025-01-01,16:45
R13,M5,2025-01-01,17:00
R14,M2,2025-01-01,17:15
R15,M4,2025-01-01,19:15
R16,M2,2025-01-01,20:15
R17,M3,2025-01-01,20:30
R18,M3,2025-01-01,21:30
R19,M2,2025-01-01,23:30
R20,M3,2025-01-02,00:30
R21,M1,2025-01-02,02:30
R22,M5,2025-01-02,03:30
R23,M5,2025-01-02,03:45
R24,M5,2025-01-02,04:00
R25,M1,2025-01-02,04:15
R26,M2,2025-01-02,08:15
R27,M3,2025-01-02,08:45
R28,M4,2025-01-02,09:45
R29,M1,2025-01-02,10:45
R30,M1,2025-01-02,11:00
R31,M1,2025-01-02,12:00
R32,M4,2025-01-02,14:00
R33,M4,2025-01-02,16:00
R34,M2,2025-01-02,16:30
R35,M1,2025-01-02,20:30
R36,M5,2025-01-02,22:30
R37,M1,2025-01-03,02:30
R38,M1,2025-01-03,04:30
R39,M3,2025-01-03,04:45
R40,M1,2025-01-03,06:45
R41,M2,2025-01-03,07:45
R42,M5,2025-01-03,08:45
R43,M2,2025-01-03,12:45
R44,M4,2025-01-03,16:45
R45,M2,2025-01-03,17:15
R46,M5,2025-01-03,18:15
R47,M5,2025-01-03,22:15
R48,M5,2025-01-04,00:15
R49,M2,2025-01-04,00:45
R50,M3,2025-01-04,04:45
R51,M2,2025-01-04,05:45
R52,M1,2025-01-04,06:45
R53,M2,2025-01-04,07:15
R54,M3,2025-01-04,07:30
R55,M3,2025-01-04,07:45
R56,M1,2025-01-04,08:45
R57,M3,2025-01-04,09:00
R58,M5,2025-01-04,09:30
R59,M5,2025-01-04,11:30
R60,M1,2025-01-04,12:30
R61,M4,2025-01-04,13:00
R62,M3,2025-01-04,13:15
R63,M1,2025-01-04,14:15
R64,M1,2025-01-04,14:30
R65,M4,2025-01-04,14:45
R66,M5,2025-01-04,15:45
R67,M2,2025-01-04,16:15
R68,M5,2025-01-04,20:15
R69,M4,2025-01-04,20:45
R70,M1,2025-01-04,21:15
R71,M2,2025-01-05,01:15
R72,M5,2025-01-05,05:15
R73,M5,2025-01-05,05:30
R74,M5,2025-01-05,07:30
R75,M4,2025-01-05,08:00
R76,M5,2025-01-05,09:00
R77,M4,2025-01-05,13:00
R78,M5,2025-01-05,14:00
R79,M1,2025-01-05,15:00
R80,M1,2025-01-05,16:00
R81,M1,2025-01-05,20:00
R82,M1,2025-01-06,00:00
R83,M2,2025-01-06,00:15
R84,M2,2025-01-06,04:15
R85,M4,2025-01-06,08:15
R86,M1,2025-01-06,12:15
R87,M4,2025-01-06,13:15
R88,M2,2025-01-06,13:45
R89,M2,2025-01-06,17:45
R90,M4,2025-01-06,19:45
R91,M2,2025-01-06,21:45
R92,M5,2025-01-07,01:45
R93,M4,2025-01-07,02:15
R94,M5,2025-01-07,02:30
R95,M3,2025-01-07,04:30
R96,M2,2025-01-07,06:30
R97,M4,2025-01-07,10:30
R98,M2,2025-01-07,11:00
R99,M2,2025-01-07,11:15
R100,M3,2025-01-07,15:15
R101,M3,2025-01-07,17:15
R102,M3,2025-01-07,17:30
R103,M2,2025-01-07,21:30
R104,M3,2025-01-07,22:30
R105,M3,2025-01-08,02:30
R106,M2,2025-01-08,02:45
R107,M4,2025-01-08,04:45
R108,M2,2025-01-08,05:15
R109,M4,2025-01-08,05:45
R110,M3,2025-01-08,06:00
R111,M3,2025-01-08,10:00
R112,M5,2025-01-08,11:00
R113,M4,2025-01-08,12:00
R114,M1,2025-01-08,13:00
R115,M2,2025-01-08,15:00
R116,M2,2025-01-08,16:00
R117,M5,2025-01-08,16:15
R118,M1,2025-01-08,18:15
R119,M3,2025-01-08,18:30
R120,M5,2025-01-08,18:45
R121,M3,2025-01-08,19:45
R122,M2,2025-01-08,20:45
R123,M5,2025-01-08,21:45
R124,M4,2025-01-08,22:15
R125,M5,2025-01-08,23:15
R126,M4,2025-01-08,23:45
R127,M1,2025-01-09,01:45
R128,M4,2025-01-09,02:45
R129,M3,2025-01-09,06:45
R130,M3,2025-01-09,08:45
R131,M4,2025-01-09,09:45
R132,M5,2025-01-09,10:00
R133,M1,2025-01-09,12:00
R134,M4,2025-01-09,13:00
R135,M2,2025-01-09,14:00
R136,M1,2025-01-09,15:00
R137,M5,2025-01-09,19:00
R138,M3,2025-01-09,20:00
R139,M2,2025-01-09,20:30
R140,M5,2025-01-09,21:00
R141,M3,2025-01-09,23:00
R142,M1,2025-01-10,01:00
R143,M3,2025-01-10,03:00
R144,M5,2025-01-10,07:00
R145,M3,2025-01-10,08:00
R146,M5,2025-01-10,08:15
R147,M5,2025-01-10,08:30
R148,M1,2025-01-10,12:30
R149,M3,2025-01-10,14:30
R150,M4,2025-01-10,15:00
R151,M5,2025-01-10,17:00
R152,M5,2025-01-10,19:00
R153,M2,2025-01-10,19:30
R154,M5,2025-01-10,20:30
R155,M1,2025-01-10,20:45
R156,M2,2025-01-10,21:00
R157,M1,2025-01-10,21:15
R158,M4,2025-01-10,22:15
R159,M4,2025-01-10,22:30
R160,M2,2025-01-10,23:00
R161,M1,2025-01-11,01:00
R162,M4,2025-01-11,03:00
R163,M4,2025-01-11,03:15
R164,M5,2025-01-11,03:30
R165,M1,2025-01-11,03:45
R166,M4,2025-01-11,07:45
R167,M3,2025-01-11,08:00
R168,M2,2025-01-11,09:00
R169,M2,2025-01-11,11:00
R170,M3,2025-01-11,13:00
R171,M5,2025-01-11,15:00
R172,M2,2025-01-11,17:00
R173,M2,2025-01-11,19:00
R174,M2,2025-01-11,20:00
R175,M4,2025-01-11,20:15
R176,M2,2025-01-11,20:45
R177,M4,2025-01-12,00:45
R178,M5,2025-01-12,01:15
R179,M5,2025-01-12,05:15
R180,M3,2025-01-12,05:45
R181,M3,2025-01-12,09:45
R182,M4,2025-01-12,10:00
R183,M1,2025-01-12,10:30
R184,M5,2025-01-12,11:30
R185,M2,2025-01-12,12:30
R186,M5,2025-01-12,12:45
R187,M4,2025-01-12,13:00
R188,M4,2025-01-12,14:00
R189,M3,2025-01-12,14:30
R190,M3,2025-01-12,14:45
R191,M1,2025-01-12,15:45
R192,M2,2025-01-12,16:45
R193,M2,2025-01-12,17:45
R194,M3,2025-01-12,18:15
R195,M5,2025-01-12,22:15
R196,M5,2025-01-12,23:15
